,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"drivers license","Olivia Rodrigo",1356870,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
2,Waalian,Harnoor,1328772,https://open.spotify.com/track/4Nc4ojIRbHohLiX9NmKkVh
3,Libaas,Kaka,1225775,https://open.spotify.com/track/0vqw3BCyNr3DDVBmjD21H8
4,Shayad,Pritam,1202200,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
5,Titliaan,"Afsana Khan",1113622,https://open.spotify.com/track/1980E4Grgu5xAhNbFZ1mb1
6,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik",1083472,https://open.spotify.com/track/2FCXQHugkoHE1K3tiDu8pu
7,positions,"Ariana Grande",946371,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
8,"Aabaad Barbaad",Pritam,922807,https://open.spotify.com/track/3jxNbVmugKWFFc3YAVl0sD
9,Mirchi,DIVINE,891615,https://open.spotify.com/track/7zKzD5wM18bQSiJTAxTpwH
10,Dynamite,BTS,891272,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
11,"Naach Meri Rani","Guru Randhawa",887916,https://open.spotify.com/track/1orM67pmkNc4alrZkWjYkV
12,"Brown Munde","AP Dhillon",851504,https://open.spotify.com/track/58f4twRnbZOOVUhMUpplJ4
13,"Mood (feat. iann dior)",24kGoldn,841198,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
14,Khairiyat,Pritam,837721,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
15,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",813949,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
16,"Blinding Lights","The Weeknd",792221,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
17,Liggi,Ritviz,784655,https://open.spotify.com/track/4vwPirpSJCOiIsgxMV4Xcv
18,Guilty,"Inder Chahal",737960,https://open.spotify.com/track/2W9awzkFJzPRddvLXtCSOU
19,"Vaathi Coming","Anirudh Ravichander",724558,https://open.spotify.com/track/2BcPFQ7nrtUObgAs72xaac
20,"Teri Aankhon Mein","Darshan Raval",723387,https://open.spotify.com/track/3wmI2n0Whs6kg4MT8jFRU1
21,"Ghungroo (From ""War"")","Arijit Singh",707847,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
22,"First Kiss","Yo Yo Honey Singh",704882,https://open.spotify.com/track/1nhJF3mMAL9UgBz3vLLNuM
23,"BurjKhalifa (From ""Laxmii"")",Shashi,667044,https://open.spotify.com/track/3ZVKI8jix6PjEFx2xFBFhz
24,"Master the Blaster (From ""Master"")","Anirudh Ravichander",664286,https://open.spotify.com/track/2cVJDlu9jmkPUeuJxA6v8i
25,Makhna,"Tanishk Bagchi",663833,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
26,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",659413,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
27,"lovely (with Khalid)","Billie Eilish",652066,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
28,"Ghalat Fehmi - From ""Superstar""","Asim Azhar",641855,https://open.spotify.com/track/5mnvugwfFYnJm9zuyGkgqF
29,Señorita,"Shawn Mendes",624099,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
30,"Play Date","Melanie Martinez",620835,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
31,"Taaron Ke Shehar","Neha Kakkar",617992,https://open.spotify.com/track/1r6sFC5J0p9r3jcfIoSGDM
32,"No Competition","Jass Manak",616840,https://open.spotify.com/track/4AVe62GFbb3ffKXjUSpiuv
33,"Life Goes On",BTS,609234,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
34,"3:59 AM",DIVINE,605338,https://open.spotify.com/track/2gNMXJDKRmKWuevBGjN8wo
35,"The Nights",Avicii,599476,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
36,Vardaan,"Ajey Nagar (CarryMinati)",597186,https://open.spotify.com/track/0MRg2bzlVhGQTi4ecu792k
37,Believer,"Imagine Dragons",589735,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
38,34+35,"Ariana Grande",584613,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
39,"Care Ni Karda (From ""Chhalaang"")","Sweetaj Brar",561389,https://open.spotify.com/track/6e5DH8YHXdM40ROnD76hZd
40,willow,"Taylor Swift",555292,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
41,Anyone,"Justin Bieber",551631,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
42,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,550115,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF
43,"Illegal Weapon 2.0 (From ""Street Dancer 3D"")","Jasmine Sandlas",549530,https://open.spotify.com/track/11IAzj9706fIKBVCJyMNNt
44,"Humraah (From ""Malang - Unleash The Madness"")","Sachet Tandon",547206,https://open.spotify.com/track/4xmkpE1Si5JL7NFxWrhV0S
45,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra",546560,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC
46,"Genda Phool (feat. Payal Dev)",Badshah,540188,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf
47,"Keh Len De",Kaka,536621,https://open.spotify.com/track/3CHZhkihLupVrfYIyg869S
48,"Namo Namo","Amit Trivedi",527793,https://open.spotify.com/track/5QtQFSdyZEl0w4iDxAyv76
49,Nayan,"Dhvani Bhanushali",526715,https://open.spotify.com/track/2KrrAi2smn5Fa7sy7TxrKg
50,Falling,"Trevor Daniel",524312,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
51,Whoopty,CJ,522794,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
52,"Love Your Voice",JONY,519496,https://open.spotify.com/track/75VNPADAFa4iNpjEBUYMhF
53,"Kalank (Title Track)","Arijit Singh",518512,https://open.spotify.com/track/6vo7Y1iWyZvpjvFbf6BiZ5
54,"Let Me Down Slowly","Alec Benjamin",511765,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
55,Memories,"Maroon 5",503353,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
56,"Duniyaa (From ""Luka Chuppi"")",Akhil,502297,https://open.spotify.com/track/3s3J70eRpRH2hcYq4mEXTJ
57,"Titliaan Warga","Harrdy Sandhu",500030,https://open.spotify.com/track/37TjLqLaiOX1QmcKPgb3TC
58,"Pal Pal Dil Ke Paas- Title Track","Arijit Singh",493763,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg
59,"Sawan Mein Lag Gayi Aag (From ""Ginny Weds Sunny"")","Mika Singh",486196,https://open.spotify.com/track/75blgc6LjSNv4MQyJkPka7
60,"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Ved Sharma",485630,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx
61,"Levitating (feat. DaBaby)","Dua Lipa",472956,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
62,Chidiya,Vilen,472020,https://open.spotify.com/track/7mNZUnDWUDidWBFaUpVtOC
63,"Tum Hi Aana (From ""Marjaavaan"")","Payal Dev",468994,https://open.spotify.com/track/6E9UwSfT80age2xknoMS7Y
64,"Kho Gaye Hum Kahan","Jasleen Royal",466030,https://open.spotify.com/track/6nZiYSBwPQ7fYnVWkkkj4g
65,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","Ayushmann Khurrana",461988,https://open.spotify.com/track/3qrdLVOClRU4yPkcXZ7c5u
66,"Astronaut In The Ocean","Masked Wolf",461958,https://open.spotify.com/track/3Ofmpyhv5UAQ70mENzB277
67,"Bewafa Tera Masoom Chehra","Rochak Kohli",458768,https://open.spotify.com/track/2plj6f8TqOF0YNuHd2VzJD
68,"Kinna Sona","Sunil Kamath",457458,https://open.spotify.com/track/2gXZp1zDDA5bnPsLwrSMRj
69,"How You Like That",BLACKPINK,450162,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
70,Mehrama,Pritam,449599,https://open.spotify.com/track/6cUOiOY5qh2FpIQWIYAd2h
71,"Dusk Till Dawn (feat. Sia) - Radio Edit",ZAYN,446774,https://open.spotify.com/track/3e7sxremeOE3wTySiOhGiP
72,"Main Tumhara","A.R. Rahman",446604,https://open.spotify.com/track/2ZvWoJ82LKCgD0nU9H5ue5
73,Copines,"Aya Nakamura",444942,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
74,Butterfly,"Jass Manak",441789,https://open.spotify.com/track/0bII0GX8CepFivbJkscZlE
75,Vibez,ZAYN,440114,https://open.spotify.com/track/6T6D9CIrHkALcHPafDFA6L
76,Qaafirana,"Arijit Singh",433748,https://open.spotify.com/track/0xkGTPTijMU84dtHr3KQQi
77,"Bekhayali (From ""Kabir Singh"")","Sachet Tandon",432980,https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3
78,Closer,"The Chainsmokers",432230,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
79,Adhiya,"Karan Aujla",425873,https://open.spotify.com/track/5LEjxlKCcYH8irGpRtjbj0
80,"Haan Main Galat",Pritam,425837,https://open.spotify.com/track/0MLZAgKQKHbPsJ12qHS860
81,"Born to Shine","Diljit Dosanjh",423285,https://open.spotify.com/track/4XxfOvudrnBRdlgzEaq1sd
82,"Save Your Tears","The Weeknd",419578,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
83,Umbrella,"Ember Island",417582,https://open.spotify.com/track/2FX5HPP1FNNuLlt2UU9os7
84,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",416453,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
85,G.O.A.T.,"Diljit Dosanjh",415797,https://open.spotify.com/track/46QbY78ha62aiu6gBgC7lS
86,"Without Me",Halsey,411425,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
87,"death bed (coffee for your head)",Powfu,411124,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
88,"Can We Kiss Forever?",Kina,409899,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
89,Perfect,"Ed Sheeran",409557,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
90,"Sugar & Brownies",DHARIA,408376,https://open.spotify.com/track/3EZocpoj4dsFqsluUGHnwT
91,"Buttabomma - Telugu","Armaan Malik",406849,https://open.spotify.com/track/0dnDTvdUco2UbaBjUtPxNS
92,Tightrope,ZAYN,403581,https://open.spotify.com/track/44ngiCPfS8FfdJOqN0eULl
93,Jashn-E-Bahaaraa,"A.R. Rahman",402825,https://open.spotify.com/track/1O5mTSQa0sCce9ghhDqIZl
94,"Vaathi Raid","Anirudh Ravichander",400220,https://open.spotify.com/track/4PML5RtrVcYAwTTS46otXB
95,"WITHOUT YOU","The Kid LAROI",399350,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
